country,region,EPI2022,HLT2022,AIR2022,H2O2022,HMT2022,WMG2022,EPI.2020,HLT.2020,AIR.2020,H2O.2020,HMT.2020,WMG.2020,EPI.2018,HLT.2018,AIR.2018,H2O.2018,HMT.2018
Afghanistan,Southern Asia,43.6,16,15.5,28.1,0,4.4,25.5,20,17.7,28,0,0,37.74,36.76,44.67,25.75,0
Angola,Sub-Saharan Africa,30.5,20.5,23.1,12.8,36.7,9.6,29.7,20.4,26.8,12.8,37.3,0,65.46,65.67,65.47,66.56,62.89
Albania,Eastern Europe,47.1,40,37.5,54.1,45.5,13.4,49,44.5,41.2,54,46.1,0,57.18,80.95,93.98,60.26,35.6
United Arab Emirates,Greater Middle East,52.4,49.4,41.7,67.2,53.6,43.4,55.6,55.2,48.6,67.2,54.3,26.8,37.44,33.79,44.66,9.2,40.08
Argentina,Latin America & Caribbean,41.1,56.3,52,64.8,72.2,42.4,52.2,60.2,56.9,64.7,73.1,44.6,59.18,76.53,89.13,53.33,52.04
Armenia,Former Soviet States,48.3,40.7,32.1,57.3,50.2,37.5,52.3,43.5,36.3,57.2,50.8,0,59.3,79.88,84.57,73.07,59.78
Antigua and Barbuda,Latin America & Caribbean,52.4,55.8,56.5,50.1,59.8,62.3,48.5,55.5,57.5,50,60.5,75.1,62.07,56.85,53.55,61.94,69.06
Australia,Global West,60.1,86.4,91.1,87.1,76.4,69,74.9,91.6,98.2,87,77.2,77.3,74.12,97.95,100,98.44,68.34
Austria,Global West,66.5,81.7,75,94.7,90.7,77.4,79.6,88,81.3,94.7,91.7,97.2,78.97,86.38,82.21,94.63,91.08
Azerbaijan,Former Soviet States,38.6,30.7,22.1,45.6,40.4,30.8,46.5,32.7,24.9,45.5,41,0,62.33,48.55,47.44,48.53,63.09
Burundi,Sub-Saharan Africa,30.5,22,30.7,5.4,35.2,2.7,27,21.9,36,5.3,35.8,0,54.99,73.68,84.19,55.4,46.81
Belgium,Global West,58.2,77.9,74.6,93.6,66.6,68,73.3,86,80.7,93.6,67.4,97.6,55.15,65.28,67.81,63.06,45.62
Benin,Sub-Saharan Africa,29.6,22.2,22.3,13.5,36.2,29.7,30,20.3,25.6,13.4,36.8,5.8,29.56,11.96,4.12,28.47,14.72
Burkina Faso,Sub-Saharan Africa,35.5,20.9,26.1,7.8,29.1,16.7,38.3,19.6,28.9,7.7,29.7,10.2,55.76,84.73,100,55.64,60.69
Bangladesh,Southern Asia,23.1,18.1,14.4,27.4,22.8,10.5,29,22.4,20.2,27.3,23.2,5,64.98,69.55,69.71,68.66,72.8
Bulgaria,Eastern Europe,51.9,43.2,28.6,68.4,45.2,58.8,57,50.3,33,68.3,45.8,83.6,77.38,89.37,88.63,96.09,58.6
Bahrain,Greater Middle East,42,45.3,34.7,56.6,58,62.4,51,49.2,41.2,56.6,58.7,60.4,57.79,65.09,74.73,46.74,49.86
Bahamas,Latin America & Caribbean,56.2,54,54.5,55,66.3,36.2,43.5,53.1,55.6,55,67.1,0,38.17,36.36,50.66,6.37,30.23
Bosnia and Herzegovina,Eastern Europe,39.4,38,27.8,61.5,42.3,30.9,45.4,43.9,31.6,61.4,42.9,27.9,47.22,35.27,36.89,32.6,30.28
Belarus,Former Soviet States,48.5,51.1,46.1,60.5,57,49.1,53,55.9,49.9,60.5,57.7,77.5,55.98,61.64,70.92,44.57,43.51
Belize,Latin America & Caribbean,50,39,37.6,42.7,53.8,23.4,41.9,40.3,39.4,42.6,54.5,17,41.84,63.87,60.37,71.54,63.39
Bolivia,Latin America & Caribbean,40.1,35.8,30,40.1,43,50,44.3,35.9,32.4,40,43.7,31.1,51.7,37.19,43.33,21.8,49.65
Brazil,Latin America & Caribbean,43.6,46,44.9,46.2,58.2,38.7,51.2,49.7,50,46.1,58.9,65.8,60.7,67.44,78.78,45.91,49.19
Barbados,Latin America & Caribbean,53.2,61.8,65.3,52,69.6,59,45.6,60.7,66,51.9,70.4,67.2,63.57,96.66,98.76,94.9,79.92
Brunei Darussalam,Asia-Pacific,45.7,68.1,61.7,85.7,67.6,59.7,54.8,74,68.4,85.6,68.4,42.5,67.85,69.6,68.49,71.26,74.15
Bhutan,Southern Asia,42.5,27.2,19.6,31.2,42.6,43.4,39.3,29.8,24.4,31.2,43.3,59.7,42.83,44.22,61.85,8.45,29.78
Botswana,Sub-Saharan Africa,54,21.3,17.1,20.9,39.2,27.3,40.4,20.2,19.7,20.8,39.8,0.7,27.43,25.69,36.92,0.86,28.7
Central African Republic,Sub-Saharan Africa,44.9,13.1,19,0,23.5,3.4,36.9,12.2,22,0,24,0,43.23,39.81,41.91,35.26,39.84
Canada,Global West,50,85.9,88,88.1,95.6,59.5,71,91.7,94.8,88,96.6,84.7,40.81,39.18,50.54,13.45,45.84
Switzerland,Global West,65.9,88.4,84.3,100,94,76.4,81.5,95,90.6,100,95,99,72.18,97.51,99.28,94.69,91.49
Chile,Latin America & Caribbean,46.7,58,48.4,68.1,96.8,46.4,55.3,63.4,56.1,68.1,97.8,65.7,56.94,60.9,70.81,40.66,53.47
China,Asia-Pacific,28.4,32.8,20.6,59.5,37,28.6,37.3,41.8,27.1,59.4,37.6,51.8,36.42,29.16,42.93,0,25.01
Cote d'Ivoire,Sub-Saharan Africa,32.8,19.8,18.2,17.3,44.2,11,25.8,19.4,20.3,17.2,44.9,2.1,45.34,41.36,60.82,0.32,34.67
Cameroon,Sub-Saharan Africa,30.2,14.3,13.2,7.8,35.6,15.4,33.6,13.6,16.4,7.7,36.1,10.2,57.49,73.73,69.22,79.61,97.15
Dem. Rep. Congo,Sub-Saharan Africa,36.9,21.1,25.1,13.6,35.5,4.1,36.4,22.4,29.9,13.5,36.1,3.5,50.74,31.72,14.39,68.24,38.02
Republic of Congo,Sub-Saharan Africa,40.1,19.7,16.7,14.6,44.4,23.7,30.8,18.1,20,14.6,45.1,0,65.22,71.05,77.01,59.96,60.12
Colombia,Latin America & Caribbean,42.4,50.3,44,55.9,61.1,60.3,52.9,55,49.1,55.8,61.9,100,44.24,47.06,64.38,10,44.3
Comoros,Sub-Saharan Africa,42.5,31.1,38.4,15.2,46.4,15.5,32.1,27.3,37.7,15.2,47.1,0,67.85,76.44,84.43,62.78,54.45
Cabo Verde,Sub-Saharan Africa,41.9,32.6,28,35.6,58.7,24.1,32.8,30.4,26.5,35.5,59.5,0,45.25,39.55,53.88,9.53,33.42
Costa Rica,Latin America & Caribbean,46.3,55.4,51.4,66.2,53.1,52.5,52.5,60.5,56.2,66.1,53.8,64.8,65.45,67.04,64.07,70.01,87.84
Cuba,Latin America & Caribbean,47.5,47.9,50.6,49.7,47.6,28.6,48.4,50.5,53.9,49.6,48.3,25.9,63.42,75.76,86.47,57.5,46.03
Cyprus,Eastern Europe,58,73.8,68.3,94,68.6,58.9,64.8,81.5,73.1,93.9,69.4,77.5,72.6,87.96,87.5,92.35,67.57
Czech Republic,Eastern Europe,59.9,63.5,53.3,76.5,75.5,74.9,71,68.3,58.8,76.4,76.4,89.5,67.68,68.69,65.77,69.98,98.82
Germany,Global West,62.4,82,75.2,99.1,89.8,69,77.2,89.6,81.1,99,90.7,97.9,30.41,19.7,22.57,10.01,40.47
Djibouti,Sub-Saharan Africa,47.5,21.6,19.6,18.3,45.6,16.9,28.1,20.1,21.1,18.3,46.2,0,81.6,98.2,99.16,97.78,88.3
Dominica,Latin America & Caribbean,51.2,46.2,44,47.6,52.1,48.5,44.6,46.8,44.2,47.5,52.8,62.4,40.04,52.89,69.73,19.3,35.47
Denmark,Global West,77.9,85.5,80.5,97.5,100,68.3,82.5,91.7,85.5,97.4,100,99.8,59.38,69.45,80.39,50.64,40.18
Dominican Republic,Latin America & Caribbean,42.2,33,33.5,39,29.5,18.2,46.3,36.1,37.4,38.9,30,5.7,64.71,64.86,77.96,42.4,29.34
Algeria,Greater Middle East,29.6,42,39.4,53.3,38.3,32,44.8,50.4,45.3,53.2,38.9,91.6,57.42,72.58,82.97,52.2,59.87
Ecuador,Latin America & Caribbean,46.5,46.9,44.1,50.3,62.3,38.5,51,50.2,48.7,50.2,63,53.6,61.21,68.61,88.88,32.78,20.03
Egypt,Greater Middle East,35.5,31.5,34.6,36.7,13.1,19.8,43.3,33.8,35.3,36.6,13.5,16.3,53.91,63.99,76.15,42.34,35.85
Eritrea,Sub-Saharan Africa,31.7,17.5,19.3,6.4,37.8,15.3,30.4,15.5,22.1,6.3,38.3,0,60.4,49.66,57.18,31.89,58.55
Spain,Global West,56.6,78.1,74,96.9,70.5,61.4,74.3,86.8,80.2,96.8,71.3,89,39.34,46.12,64.88,7.09,36.46
Estonia,Eastern Europe,61.4,71.8,74.6,61.9,86.5,66.7,65.3,73,80.3,61.9,87.4,74.4,64.31,73.24,78.87,58.45,88.82
Ethiopia,Sub-Saharan Africa,31.8,25.3,33.7,11,35.2,5,34.4,25.2,38,10.9,35.8,0,44.78,32.8,43.66,9.35,32.22
Finland,Global West,76.5,93.4,93.5,100,100,69.6,78.9,99.3,98.8,100,100,97.7,53.09,61.7,70.36,39.93,79.74
Fiji,Asia-Pacific,31.3,36.3,30.3,34.7,76.1,34,34.4,34.7,30,34.6,77,40,78.64,99.35,99,100,100
France,Global West,62.5,83.9,82,96.3,83.1,63.8,80,91.5,88.1,96.2,84,94.8,83.95,95.71,95.97,97.22,83.29
Micronesia,Asia-Pacific,37.4,31.9,31.6,35.5,40.9,14.9,33,30.8,29,35.5,41.5,0,45.05,43.04,51.5,22.23,57.99
Gabon,Sub-Saharan Africa,49.7,29.4,25.7,27.7,53.4,30.5,45.8,27.9,28.2,27.6,54.1,0,42.42,47.99,63.14,16.8,38.15
United Kingdom,Global West,77.7,83.9,78.6,100,93.6,62.6,81.3,91.7,84.7,100,94.6,92.9,55.69,57.1,54.93,59.93,68.28
Georgia,Former Soviet States,39.1,37.5,27.9,51.7,49.3,43.1,41.3,38.7,31.1,51.6,49.9,0,78.37,88.68,84.09,96.74,100
Ghana,Sub-Saharan Africa,27.7,20.5,15.3,20.9,54.6,13.6,27.6,20.1,18,20.8,55.3,0,49.66,44.42,52.37,26.52,48.46
Guinea,Sub-Saharan Africa,31.6,19.5,21,11.3,32.3,18.9,26.4,18.6,24.7,11.2,32.9,2.5,73.6,91.03,89.23,100,60.77
Gambia,Sub-Saharan Africa,36.4,21.3,20.7,19.2,36.5,14.5,27.9,21.4,23.9,19.1,37.1,0,50.93,69.82,82.88,48.26,29.37
Guinea-Bissau,Sub-Saharan Africa,40.2,16.6,19.4,6.8,28,14.3,29.1,15.1,22.1,6.7,28.5,0,52.33,54.97,68.3,29.5,34.42
Equatorial Guinea,Sub-Saharan Africa,44.8,29.5,22.9,33.2,39.5,46.5,38.1,27.6,24.6,33.1,40.1,0,46.62,45.02,60.77,12.79,33.56
Greece,Eastern Europe,56.2,71.5,62,98.2,68.6,59.9,69.1,80.6,67.5,98.2,69.4,83,44.67,43.6,60.5,10.01,25.37
Grenada,Latin America & Caribbean,47.9,45,43.5,47.1,41.3,51.1,43.1,46.3,42.9,47,41.9,78.8,47.93,61.55,75.49,38.67,17.58
Guatemala,Latin America & Caribbean,28,28.1,29.1,28.3,30.1,20.6,31.8,30.8,34.3,28.2,30.6,16.6,33.74,45.24,62.21,15.45,3.46
Guyana,Latin America & Caribbean,38.5,32.3,32.1,35.3,24.4,33.7,35.9,33.5,31.9,35.3,24.9,44.2,51.51,55.95,68.9,34.06,19.01
Honduras,Latin America & Caribbean,36.5,30,31.3,31.8,20.2,28.4,37.8,33.4,35.4,31.8,20.7,40.3,65.01,57.67,52.3,66.26,75.88
Croatia,Eastern Europe,60.2,55.7,45.8,70.3,74.2,55.3,63.1,61.2,50.8,70.2,75.1,80,78.57,98.41,98.55,100,86.99
Haiti,Latin America & Caribbean,26.1,21.1,28.2,14.1,11.7,9.4,27,21.8,31.1,14,12.1,0.9,30.57,9.32,5.75,15.8,16.77
Hungary,Eastern Europe,55.1,47.6,38.2,62.2,67.4,43.4,63.7,54.1,42.8,62.2,68.2,89.2,46.92,45.44,52.04,31.41,43.84
Indonesia,Asia-Pacific,28.2,25.3,21.5,28.5,34,29.5,37.8,29,26.8,28.4,34.6,49.8,58.16,74.01,85.12,58.74,21.21
India,Southern Asia,18.9,12.5,7.8,19.5,20.6,12.9,27.6,16.3,13.4,19.4,21,16.1,43.2,61.46,72.91,41.05,35.11
Ireland,Global West,57.4,88.3,89.1,97.4,81.8,67.9,72.8,94.2,94,97.4,82.7,81.7,78.77,95.92,95.78,100,73.18
Iran,Greater Middle East,34.5,41.9,41.6,53.7,26.9,28.7,48,48.3,49.2,53.6,27.4,19,75.01,94.14,95.67,92.03,86.92
Iraq,Greater Middle East,27.8,35,31.8,49.7,29.1,21.1,39.5,39.5,36.3,49.6,29.6,0,76.96,85.88,80.56,100,70.23
Iceland,Global West,62.8,94.7,96,100,95.1,73.9,72.3,98.1,98.1,100,96.1,84.8,58.58,68.48,78.74,51.04,39.72
Israel,Greater Middle East,48.2,76,68,92.9,91.1,62.7,65.8,83.6,76.5,92.8,92.1,72.2,74.69,92.99,90.78,96.6,100
Italy,Global West,57.7,76.9,69.4,98.3,80.6,60.6,71,85.5,75.9,98.2,81.5,83.7,62.2,86.69,99.61,68.82,25.98
Jamaica,Latin America & Caribbean,45.6,41.8,39.8,49.4,48.2,28,48.2,45.5,43.6,49.3,48.9,31.7,54.56,66.7,68.41,62.89,67.5
Jordan,Greater Middle East,43.6,52.2,50.7,62.7,46.1,40,53.4,58.6,58,62.6,46.7,43.1,47.25,42.96,62.93,0.63,37.36
Japan,Asia-Pacific,57.2,82.5,78.9,95.1,100,52.8,75.1,90.3,85.9,95,100,86.5,55.26,48.48,61.85,20.89,40.21
Kazakhstan,Former Soviet States,40.9,37.5,28.6,55.2,52.2,27.7,44.7,40.8,32,55.1,52.8,2.2,62.28,70.55,75.17,65.79,39
Kenya,Sub-Saharan Africa,30.8,26.2,30,13.7,49.9,13.3,34.7,25.7,34.9,13.6,50.6,5.5,54.86,54.78,59.49,44.74,53.74
Kyrgyzstan,Former Soviet States,35.7,29.1,23.5,45.6,40.2,7.2,39.8,33.7,27,45.5,40.8,0,42.94,25.15,23.37,27.59,33.69
Cambodia,Asia-Pacific,30.1,27.6,25.9,34.3,34.5,13.7,33.6,30.5,30.1,34.2,35,0,66.12,72.8,77.66,60.62,82.78
Kiribati,Asia-Pacific,49,27.2,32.1,16.3,36.5,18.2,37.7,22.9,29.2,16.3,37,0,61.08,83.25,95.18,60.31,65.9
South Korea,Asia-Pacific,46.9,73.3,62.9,90.8,88.4,72,66.5,81.4,71.7,90.7,89.4,96.7,33.78,29.78,42.18,2.86,30.06
Kuwait,Greater Middle East,42.4,51.5,47,67.5,56.1,32.3,53.6,57.3,55,67.4,56.8,0,41.62,43.73,62.49,4.79,33.59
Laos,Asia-Pacific,30.7,24.2,22.6,26.6,34.1,16.7,34.8,27.2,27.8,26.5,34.7,18.7,49.79,81.8,96.67,54.93,49.67
Lebanon,Greater Middle East,32.2,46.3,41.2,59.8,43,44.4,45.4,53.1,47.8,59.7,43.6,61.4,69.33,72.57,77.97,58.51,86.63
Liberia,Sub-Saharan Africa,24.9,22.9,28.3,9.9,36.7,11.9,22.6,21.3,30.9,9.8,37.3,0,79.12,95.07,93.62,99.3,88.55
Saint Lucia,Latin America & Caribbean,49.4,47.3,46,45.4,51.2,55.4,43.1,47.8,46.3,45.4,51.8,77.5,61.06,67.43,66.43,69.16,70.11
Sri Lanka,Southern Asia,34.7,39,32.5,48.5,71.6,19.1,39,42.1,37.8,48.4,72.4,4.4,33.73,42.39,61.04,4.04,30.08
Lesotho,Sub-Saharan Africa,32.3,10.9,11.1,7.3,24.5,5.9,28,11.8,15.3,7.2,25,0,49.21,39.93,54.79,8.28,36.52
Lithuania,Eastern Europe,55.9,61.8,58.4,58.4,83,67.4,62.9,63.2,62.7,58.3,83.9,87.8,59.22,66.63,69.32,63,53.42
Luxembourg,Global West,72.3,86.7,81,98.7,95.1,79.1,82.3,92.6,87.2,98.6,96.1,96.2,52.14,73.23,81.73,57.62,56.39
Latvia,Eastern Europe,61.1,56.9,51.1,59.1,77.5,63,61.6,58,54.8,59,78.4,61.4,43.71,43.72,63.41,2.69,33.94
Morocco,Greater Middle East,28.4,28.6,22.7,40.9,28.4,30.8,42.3,33.3,27,40.8,28.9,39.6,80.9,93.8,94.4,100,48.74
Moldova,Former Soviet States,42.7,42,40.5,50,54,17.7,44.4,45.6,44.3,50,54.7,13.8,39.24,50.01,66.23,14.67,51.25
Madagascar,Sub-Saharan Africa,28,24.4,33.6,6,32.4,11.2,26.5,22.1,36.1,5.9,33,0.6,56.63,77.45,85.88,61.05,66.37
Maldives,Southern Asia,37.4,48.5,52,47.8,54.7,25,35.6,48,51.2,47.8,55.4,9.6,59.69,66.04,71.9,57.58,40.46
Mexico,Latin America & Caribbean,45.5,40.9,34.2,52.9,45.1,43.5,52.6,47.5,40.8,52.8,45.7,74.3,49.8,59.88,67.08,46.39,47.4
Marshall Islands,Asia-Pacific,36.2,35.8,34.9,32.3,46,38.8,30.8,32.6,32.5,32.2,46.6,22.1,51.97,60.29,59.92,61.02,60.77
North Macedonia,Eastern Europe,54.3,36.5,22.6,61.1,46.1,42.1,55.4,43.6,26.5,61.1,46.7,72.1,57.51,61.97,64.3,60.54,40.31
Mali,Sub-Saharan Africa,28.5,20.4,26.7,8.3,31.9,4.5,29.4,19.5,29.2,8.2,32.5,0,61.33,72.61,69.28,78.61,79.89
Malta,Global West,75.2,76.5,73.2,99.8,49.9,63.5,70.7,86.1,77.6,99.8,50.6,96.7,63.47,67.43,81.39,42.24,37.03
Myanmar,Asia-Pacific,19.4,21.6,16.9,30.9,37.6,8.2,25.1,24.6,20.7,30.8,38.2,0,46.37,46.36,61.43,16.18,31.6
Montenegro,Eastern Europe,46.9,41.3,30.7,65.6,64.4,15.5,46.3,46.7,33.9,65.6,65.2,5.3,45.32,35.6,36.57,31.76,46.02
Mongolia,Asia-Pacific,29.6,23.8,14.9,43.2,32.6,15.7,32.2,27.6,17.4,43.1,33.2,0,58.46,46.34,60.6,15.5,46.1
Mozambique,Sub-Saharan Africa,31.7,28.3,37.9,16.4,23.3,9.8,33.9,28.1,40.7,16.4,23.7,0.7,31.44,10.54,3.94,23.54,18.43
Mauritania,Sub-Saharan Africa,28.1,24,21.1,13.6,55.1,35.5,27.7,20,22.4,13.6,55.8,12.5,75.46,92.26,89.68,98.26,89.8
Mauritius,Sub-Saharan Africa,44.8,57.6,50.7,65.5,66,67.4,45.1,60,51.1,65.5,66.8,98,75.96,95.96,98.99,93.37,72.08
Malawi,Sub-Saharan Africa,40.6,26.7,35.7,12.1,36.8,3.5,38.3,26.5,39.6,12,37.4,0,55.04,62.2,72.09,41.96,54.99
Malaysia,Asia-Pacific,35,48,43.7,57.6,61.4,33.8,47.9,55.4,50.3,57.6,62.1,81.4,35.74,41.94,61.22,2.44,28.37
Namibia,Sub-Saharan Africa,50.9,24.2,22.2,19.7,43.9,26.5,40.2,22.5,24.4,19.6,44.5,4.2,54.76,36.64,48.08,7.75,61.39
Niger,Sub-Saharan Africa,37.7,18.8,27.1,1.5,26.8,8.4,30.8,17.1,30.3,1.4,27.3,1,77.49,97.86,97.14,99.65,96.44
Nigeria,Sub-Saharan Africa,28.3,15.2,13.8,5,50.9,12.7,31,13.9,18,4.9,51.5,7.7,51.32,75.98,86.19,62.84,22.06
Nicaragua,Latin America & Caribbean,37.7,37.1,38.2,42.9,34,19.3,39.2,40.2,41.7,42.8,34.5,11.4,37.5,16.8,15.69,20.02,11.86
Netherlands,Global West,62.6,83.3,76.8,100,94.1,66.2,75.3,91,82.4,100,95.1,100,62.71,66.96,78.88,43.45,53.1
Norway,Global West,59.3,92.2,92.4,100,93,70.7,77.7,98.5,97.9,100,94,97.6,39.35,47.26,60,18.48,54.26
Nepal,Southern Asia,28.3,17.1,9.5,27.1,26.7,24.7,32.7,21,14.6,27,27.2,30.5,53.93,58.1,65.39,44.96,42.09
New Zealand,Global West,56.7,84.9,93.2,80.4,74.6,60.9,71.3,88,97.4,80.4,75.5,68,61.92,56.49,58.21,50.38,70.87
Oman,Greater Middle East,30.7,39,31.8,58.3,36.5,32.8,38.5,43.4,36.4,58.3,37,0,57.65,55.64,62.96,42.86,37.1
Pakistan,Southern Asia,24.6,11.4,5.7,17.5,22.5,15.8,33.1,14.6,9.9,17.4,23,31.1,64.11,58.71,53.04,69.23,69.29
Panama,Latin America & Caribbean,50.5,49,51.9,43.6,56.8,38.6,47.3,50.4,56,43.5,57.5,42,71.91,90.47,90.99,93.59,64.91
